LLM_lines,RWASM_lines
25,766
21,742
29,700
20,700
16,455
18,543
20,934
27,776
17,847
20,492
22,534
15,526
17,530
17,544
22,764
21,655
11,431
21,3569
19,817
15,463
18,538
14,441
14,496
20,485
20,788
15,407
17,1505
14,555
20,482
15,513
17,830
11,401
20,663
10,411
14,518
28,585
20,682
17,467
12,385
21,581
19,564
14,475
19,647
16,451
21,783
13,3474
17,802
17,726
20,655
20,522
11,385
17,3483
25,950
17,521
22,663
21,751
22,778
14,730
19,850
18,685
17,529
14,739
11,453
24,608
19,3611
19,726
12,397
20,628
18,748
10,398
18,497
13,398
19,635
14,556
14,479
15,384
17,927
25,3704
19,643
20,3734
16,774
19,625
21,827
10,401
21,1633
17,620
18,767
15,475
26,993
0,13140
18,825
22,553
29,546
14,547
17,632
37,847
14,451
17,923
11,402
13,440
19,558
17,12719
27,593
22,829
24,874
15,449
20,496
27,665
0,12873
17,1474
14,739
24,726
16,596
16,697
19,512
17,437
28,705
11,384
18,3709
18,518
18,748
19,506
15,449
26,561
14,397
10,376
24,675
12,423
20,537
16,1388
22,681
17,565
18,497
14,1419
11,465
23,635
22,3654
21,535
19,448
16,622
12,418
22,559
13,402
20,885
31,660
22,608
14,425
25,906
21,747
11,1379
20,552
17,732
19,522
15,609
36,3722
10,394
21,533
22,525
11,513
36,1088
16,596
33,933
15,577
15,659
16,643
11,376
22,530
14,410
31,937
26,585
20,664
27,608
14,441
14,441
12,522
13,880
15,3646
14,402
10,404
21,545
19,591
19,12850
20,830
22,631
16,478
32,1396
10,1433
11,616
27,1077
25,849
18,814
22,520
24,593
12,404
25,12811
15,476
15,473
18,393
14,471
25,934
21,520
19,873
11,402
24,787
17,577
16,3586
19,518
17,3579
10,436
12,402
30,809
18,655
17,469
20,461
22,828
21,3551
11,961
16,478
10,406
28,1012
18,522
14,498
18,531
10,402
21,915
18,658
13,427
18,497
21,795
20,498
27,1009
10,398
19,545
13,447
21,485
10,816
14,628
25,750
32,672
16,693
20,485
17,561
23,533
20,513
19,3627
22,525
21,725
14,475
28,3623
25,14980
18,497
23,3641
18,3559
13,534
17,787
18,704
17,633
14,475
15,450
10,397
17,3571
18,455
14,493
22,1565
33,907
11,385
20,892
19,472
15,549
12,481
32,3832
17,3552
15,427
14,431
12,409
16,720
10,1373
18,762
20,591
18,1499
18,569
24,817
18,423
20,637
22,688
